n,k,comparisons,swaps
800,400,2329,1775
800,400,2156,1639
800,400,2332,1738
800,400,2328,1771
800,400,2430,1866
800,400,2432,1874
800,400,2433,1866
800,400,2398,1819
800,400,2414,1846
800,400,2377,1791
800,400,2395,1836
800,400,2277,1703
800,400,2351,1783
800,400,2259,1732
800,400,2385,1826
800,400,2426,1832
800,400,2408,1858
800,400,2426,1861
800,400,2395,1838
800,400,2341,1777
800,400,2323,1749
800,400,2369,1840
800,800,2365,1810
800,800,2034,1536
800,800,2136,1598
800,800,2385,1836
800,800,2400,1849
800,800,2341,1783
800,800,2336,1787
800,800,2132,1641
800,800,2312,1744
800,800,2304,1714
800,800,2297,1747
800,800,2369,1824
800,800,2332,1768
800,800,2357,1812
800,800,2263,1723
800,800,2319,1777
800,800,2394,1846
800,800,2198,1672
800,800,2304,1770
800,800,2198,1647
800,800,2318,1787
800,800,2353,1821
800,800,2355,1819
800,800,2320,1779
800,800,2390,1802
800,800,2376,1836
800,800,2389,1778
800,800,2391,1806
800,800,2285,1744
800,800,2321,1773
800,800,2329,1814
800,800,2155,1625
800,800,2323,1810
800,800,2350,1785
800,800,2339,1809
800,800,2205,1659
800,800,2267,1753
800,800,2313,1801
800,800,2365,1834
800,800,2316,1778
800,800,2211,1682
800,800,2347,1770
800,800,2368,1813
800,800,2249,1718
800,800,2202,1694
800,800,2106,1591
800,800,2351,1800
800,800,2265,1717
800,800,2232,1700
800,800,2371,1792
900,1,2747,2137
900,1,2632,1974
900,1,2633,1980
900,1,2634,1991
900,1,2599,1949
900,1,2666,2021
900,1,2625,1962
900,1,2656,2052
900,1,2599,1959
900,1,2630,2005
900,1,2584,1935
900,1,2627,2005
900,1,2678,2051
900,1,2559,1908
900,1,2592,1937
900,1,2737,2114
900,1,2621,1971
900,1,2646,2020
900,1,2587,1956
900,1,2700,2068
900,1,2653,2005
900,1,2660,2025
900,1,2689,2054
900,1,2474,1835
900,1,2641,2002
900,1,2661,2020
900,1,2675,2012
900,1,2439,1835
900,1,2570,1919
900,1,2575,1937
900,1,2658,2024
900,1,2728,2118
900,1,2646,2000
900,1,2653,2043
900,1,2592,1941
900,1,2673,2030
900,1,2672,2032
900,1,2746,2123
900,1,2441,1800
900,1,2646,2033
900,1,2578,1943
900,1,2640,2003
900,1,2688,2060
900,1,2556,1907
900,1,2691,2071
900,1,2381,1758
900,1,2507,1898
900,1,2520,1870
900,1,2714,2079
900,1,2707,2071
900,450,2670,2042
900,450,2474,1858
900,450,2749,2113
900,450,2728,2083
900,450,2616,1966
900,450,2651,1997
900,450,2754,2110
900,450,2808,2172
900,450,2699,2033
900,450,2810,2154
900,450,2503,1845
900,450,2637,1982
900,450,2660,1988
900,450,2511,1915
900,450,2677,2039
900,450,2746,2093
900,450,2663,2049
900,450,2569,1916
900,450,2664,2039
900,450,2631,2006
900,450,2517,1876
900,450,2735,2079
900,450,2607,1962
900,450,2696,2081
900,450,2619,1995
900,450,2676,2054
900,450,2533,1910
900,450,1365,1018
900,450,2688,2063
900,450,2729,2079
900,450,2514,1878
900,450,2675,2025
900,450,2640,1980
900,450,2584,1962
900,450,2641,2011
900,450,2661,2008
900,450,2751,2105
900,450,1400,1031
900,450,2602,1950
900,450,2663,2017
900,450,2447,1833
900,450,2693,2024
900,450,2646,2020
900,450,2773,2148
900,450,2620,1990
900,450,2771,2098
900,450,2752,2060
900,450,2573,1957
900,450,2595,1956
900,450,2471,1851
900,900,2602,1943
900,900,2598,1958
900,900,2615,1982
900,900,2769,2111
900,900,2591,1987
900,900,2586,1945
900,900,2714,2068
900,900,2427,1835
900,900,2639,2031
900,900,2639,2005
900,900,2595,1984
900,900,2629,2011
900,900,2486,1895
900,900,2680,2003
900,900,2611,1964
900,900,2550,1931
900,900,2707,2023
900,900,2664,2069
900,900,2620,2007
900,900,2656,2026
900,900,2578,1987
900,900,2566,1951
900,900,2459,1852
900,900,2461,1854
900,900,2670,2059
900,900,2592,1959
900,900,2614,2005
900,900,2538,1953
900,900,2592,1982
900,900,2686,2051
900,900,2413,1805
900,900,2482,1887
900,900,2623,2015
900,900,2696,2051
900,900,2644,2023
900,900,2644,2000
900,900,2645,2037
900,900,2679,2031
900,900,2601,1986
900,900,2564,1942
900,900,2660,2040
900,900,2649,2030
900,900,2586,1964
900,900,2680,2070
900,900,2689,2067
900,900,2517,1931
900,900,2567,1966
900,900,2580,1920
900,900,2365,1789
900,900,2508,1912
1000,1,2997,2279
1000,1,2858,2146
1000,1,2844,2137
1000,1,2875,2166
1000,1,2976,2269
1000,1,2731,2014
1000,1,2885,2174
1000,1,2850,2116
1000,1,3022,2292
1000,1,2827,2120
1000,1,2933,2209
1000,1,2968,2214
1000,1,2847,2140
1000,1,2942,2232
1000,1,3003,2263
1000,1,2955,2215
1000,1,2828,2112
1000,1,2964,2266
1000,1,2869,2127
1000,1,2897,2180
1000,1,2936,2208
1000,1,2611,1925
1000,1,2885,2143
1000,1,2685,1995
1000,1,2970,2250
1000,1,2944,2216
